Open Datetime,Close Datetime,Symbol,Side,Volume,Exec Count,Entry Price,Exit Price,Gross P&L,Gross P&L (%),Shared,Notes,Tags,Gross P&L (t),Position MFE,Position MAE,Price MFE,Price MAE,Position MFE Datetime,Position MAE Datetime,Price MFE Datetime,Price MAE Datetime
2026-04-10 11:38:03,2026-04-10 11:51:59,TMCI,L,400,2,1.95,1.86,-18.0,-4.62,false,,"","",0.0,-19.0,0.0,-0.095,"",2026-04-10 11:50:00,2026-04-10 11:38:03,2026-04-10 11:50:00
2026-04-10 10:42:18,2026-04-10 10:44:59,TMCI,L,400,2,2.05,1.98,-14.0,-3.41,false,,"","",0.0,-14.0,0.0,-0.07,"",2026-04-10 10:43:00,2026-04-10 10:42:18,2026-04-10 10:43:00
2026-04-10 10:40:19,2026-04-10 10:42:01,TMCI,L,400,2,2.09,2.08,-2.0,-0.48,false,,"","",0.0,-8.0,0.0,-0.04,"",2026-04-10 10:41:00,2026-04-10 10:40:19,2026-04-10 10:41:00
2026-04-10 10:38:35,2026-04-10 10:39:17,TMCI,L,400,2,2.06,2.07,2.0,0.49,false,,"","",2.0,0.0,0.01,0.0,2026-04-10 10:39:17,"",2026-04-10 10:39:17,2026-04-10 10:38:35
2026-04-10 10:33:20,2026-04-10 10:37:41,TMCI,L,400,2,2.12,2.05,-14.0,-3.30,false,,"","",0.0,-28.0,0.0,-0.14,"",2026-04-10 10:34:00,2026-04-10 10:33:20,2026-04-10 10:34:00
2026-04-10 10:31:41,2026-04-10 10:32:01,TMCI,L,400,2,2.1,2.1,0.0,0.00,false,,"","",0.0,0.0,0.0,0.0,"","",2026-04-10 10:31:41,2026-04-10 10:31:41
2026-04-10 10:30:12,2026-04-10 10:30:55,TMCI,L,400,2,2.09,2.1,2.0,0.48,false,,"","",2.0,0.0,0.02,-0.03,2026-04-10 10:30:00,"",2026-04-10 10:30:00,2026-04-10 10:30:00
2026-04-10 10:29:40,2026-04-10 10:30:03,TMCI,L,400,2,2.07,2.08,2.0,0.48,false,,"","",2.0,0.0,0.01,0.0,2026-04-10 10:30:03,"",2026-04-10 10:30:03,2026-04-10 10:29:40
2026-04-10 10:28:48,2026-04-10 10:28:59,TMCI,L,400,2,2.04,2.06,4.0,0.98,false,,"","",4.0,0.0,0.02,-0.0099,2026-04-10 10:28:00,"",2026-04-10 10:28:00,2026-04-10 10:28:00
2026-04-10 10:28:13,2026-04-10 10:28:22,TMCI,L,400,2,2.04,2.06,4.0,0.98,false,,"","",4.0,0.0,0.02,-0.0099,2026-04-10 10:28:00,"",2026-04-10 10:28:00,2026-04-10 10:28:00
2026-04-10 10:26:56,2026-04-10 10:27:38,TMCI,L,400,2,1.99,2.02,6.0,1.51,false,,"","",6.0,0.0,0.03,0.0,2026-04-10 10:27:38,"",2026-04-10 10:27:38,2026-04-10 10:26:56
2026-04-10 10:06:39,2026-04-10 10:25:10,TMCI,L,400,2,2.03,1.97,-12.0,-2.96,false,,"","",0.0,-25.0,0.0,-0.125,"",2026-04-10 10:16:00,2026-04-10 10:06:39,2026-04-10 10:16:00
2026-04-10 10:04:36,2026-04-10 10:05:55,TMCI,L,400,2,1.96,2.02,12.0,3.06,false,,"","",12.0,0.0,0.06,0.0,2026-04-10 10:05:55,"",2026-04-10 10:05:55,2026-04-10 10:04:36
2026-04-10 09:58:51,2026-04-10 10:00:23,TMCI,L,400,2,1.93,1.94,2.0,0.52,false,,"","",2.0,-2.0,0.01,-0.01,2026-04-10 10:00:23,2026-04-10 09:59:00,2026-04-10 10:00:23,2026-04-10 09:59:00
2026-04-10 09:56:28,2026-04-10 09:57:21,TMCI,L,400,2,1.91,1.93,4.0,1.05,false,,"","",4.0,0.0,0.02,0.0,2026-04-10 09:57:21,"",2026-04-10 09:57:21,2026-04-10 09:56:28
2026-04-10 09:55:27,2026-04-10 09:55:35,TMCI,L,400,2,1.91,1.92,2.0,0.52,false,,"","",2.0,0.0,0.03,-0.03,2026-04-10 09:55:00,"",2026-04-10 09:55:00,2026-04-10 09:55:00
2026-04-10 09:52:14,2026-04-10 09:55:13,TMCI,L,400,2,1.9,1.91,2.0,0.53,false,,"","",2.0,-14.0,0.01,-0.07,2026-04-10 09:55:13,2026-04-10 09:54:00,2026-04-10 09:55:13,2026-04-10 09:54:00
2026-04-08 10:44:57,2026-04-08 11:07:47,JBLU,L,100,2,5.0,5.01,0.5,0.20,false,,"","",0.5,-3.0,0.01,-0.06,2026-04-08 11:03:00,2026-04-08 10:52:00,2026-04-08 11:03:00,2026-04-08 10:52:00
2026-04-08 10:30:13,2026-04-08 10:44:12,BBBY,L,100,2,5.03,5.04,0.5,0.20,false,,"","",0.575,-2.25,0.0115,-0.045,2026-04-08 10:43:00,2026-04-08 10:31:00,2026-04-08 10:43:00,2026-04-08 10:31:00
2026-03-23 12:19:51,2026-03-23 12:29:35,SATL,L,200,2,4.3,4.29,-1.0,-0.23,false,,"","",0.0,-8.0,0.0,-0.08,"",2026-03-23 12:25:00,2026-03-23 12:19:51,2026-03-23 12:25:00
2026-03-23 12:05:23,2026-03-23 12:06:13,SATL,L,200,2,4.26,4.28,2.0,0.47,false,,"","",2.0,0.0,0.02,0.0,2026-03-23 12:06:13,"",2026-03-23 12:06:13,2026-03-23 12:05:23
2026-03-23 11:55:57,2026-03-23 12:03:29,SATL,L,200,2,4.28,4.29,1.0,0.23,false,,"","",1.0,-7.0,0.01,-0.07,2026-03-23 12:03:29,2026-03-23 11:57:00,2026-03-23 12:03:29,2026-03-23 11:57:00
2026-03-23 11:24:56,2026-03-23 11:31:05,SATL,L,20,2,4.41,4.36,-0.5,-1.13,false,,"","",0.0,-0.6,0.0,-0.06,"",2026-03-23 11:27:00,2026-03-23 11:24:56,2026-03-23 11:27:00
2026-03-23 11:24:06,2026-03-23 11:24:16,SATL,L,20,2,4.41,4.42,0.1,0.23,false,,"","",0.1,0.0,0.02,-0.005,2026-03-23 11:24:00,"",2026-03-23 11:24:00,2026-03-23 11:24:00
